AccessionID,JournalID,JIF
PMC9760889,"0513-5796,1976-2437,",2.8
PMC10589809,"2574-3805,",9.7
PMC10520960,"2296-858X,",3.0
PMC10229160,"0960-1643,1478-5242,",5.2
PMC10278862,"1178-7074,",2.0
PMC10780271,"2077-0383,",2.9
PMC10054919,"2077-0383,",2.9
PMC9859791,"2044-5385,",11.6
PMC8836886,"2077-0383,",2.9
PMC9244609,"2574-3805,",9.7
PMC10199362,"1735-1995,1735-7136,",1.5
PMC10428434,"2572-9241,",14.6
PMC9804687,"0025-729X,1326-5377,",8.5
PMC10550631,"2589-5370,",10.0
PMC10558662,"2198-3844,",14.1
PMC9825174,"0305-1048,1362-4962,",13.1
PMC9259311,"0918-2918,1349-7235,",1.1
PMC10444793,"2041-1723,",15.7
PMC10638649,"2574-3805,",9.7
PMC8911338,"2077-0383,",2.9
PMC9981428,"0025-7974,1536-5964,",1.4
PMC10157168,"2296-858X,",3.0
PMC9981362,"0025-7974,1536-5964,",1.4
PMC9750541,"0025-7974,1536-5964,",1.4
PMC10608311,"1010-660X,1648-9144,",2.4
PMC10338242,"1226-3303,2005-6648,",2.4
PMC10710439,"2041-1723,",15.7
PMC9224549,"2077-0383,",2.9
PMC10238376,"2041-1723,",15.7
PMC9969574,"2450-131X,2224-4018,",7.4
PMC10052109,"1010-660X,1648-9144,",2.4
PMC10577333,"2287-2728,2287-285X,",16.9
PMC10369277,"2198-3844,",14.1
PMC9866267,"1010-660X,1648-9144,",2.4
PMC9885422,"2053-8855,",0.4
PMC9357012,"2041-1723,",15.7
PMC9613928,"2296-858X,",3.0
PMC10488406,"2077-0383,",2.9
PMC10429758,"2572-9241,",14.6
PMC10082216,"2041-1723,",15.7
PMC9875986,"0025-7974,1536-5964,",1.4
PMC10278760,"0366-6999,2542-5641,",7.3
PMC10636987,"1741-7015,",8.3
PMC10631186,"2095-7467,2054-9369,",22.9
PMC9151656,"2044-5385,",11.6
PMC8808383,"2044-6055,",2.3
PMC10142079,"2077-0383,",2.9
PMC10037022,"0918-2918,1349-7235,",1.1
PMC10584934,"2095-5545,2047-7538,",23.4
PMC10236870,"1477-3155,",12.6
PMC10729089,"2044-6055,",2.3
PMC10289742,"0025-7974,1536-5964,",1.4
PMC10043006,"2041-1723,",15.7
PMC10661849,"2041-1723,",15.7
PMC10375292,"2296-858X,",3.0
PMC9618597,"2296-858X,",3.0
PMC10149852,"2296-858X,",3.0
PMC9909208,"0903-1936,1399-3003,",21.2
PMC9317471,"2075-4418,",3.3
PMC10589570,"0025-7974,1536-5964,",1.4
PMC9949777,"2049-0801,",1.6
PMC8845183,"2044-6055,",2.3
PMC9873556,"2055-0278,",13.6
PMC9961355,"2077-0383,",2.9
PMC9429561,"2572-9241,",14.6
PMC8804350,"2001-3078,",14.5
PMC8858544,"1477-3155,",12.6
PMC9818923,"2075-4418,",3.3
PMC9588035,"2041-1723,",15.7
PMC9306629,"0270-9139,1527-3350,",16.8
PMC9237793,"2574-3805,",9.7
PMC9756626,"2049-2618,",12.7
PMC8850335,"2589-5370,",10.0
PMC9997803,"0025-7974,1536-5964,",1.4
PMC9237053,"2041-1723,",15.7
PMC10508417,"0025-7974,1536-5964,",1.4
PMC9729112,"0028-0836,1476-4687,",48.5
PMC10721535,"2590-3462,",11.6
PMC9665892,"0025-7974,1536-5964,",1.4
PMC10659654,"0025-7974,1536-5964,",1.4
PMC9465653,"1021-7770,1423-0127,",12.1
PMC9410592,"0025-7974,1536-5964,",1.4
PMC10442143,"0270-9139,1527-3350,",16.8
PMC9917966,"2077-0383,",2.9
PMC9617177,"2574-3805,",9.7
PMC10443724,"0971-5916,0975-9174,",2.5
PMC10235877,"2190-5991,2190-6009,",9.1
PMC9233424,"2589-5370,",10.0
PMC9627412,"2574-3805,",9.7
PMC10217662,"2075-4418,",3.3
PMC8913086,"0025-7974,1536-5964,",1.4
PMC9936131,"2041-1723,",15.7
PMC10261012,"2041-1723,",15.7
PMC9486360,"2044-6055,",2.3
PMC9460676,"0006-8950,1460-2156,",11.7
PMC9425971,"1756-8722,",40.4
PMC9937094,"0732-183X,1527-7755,",43.4
PMC10202950,"2041-1723,",15.7
PMC10608689,"1010-660X,1648-9144,",2.4
PMC10199041,"2041-1723,",15.7
PMC9250340,"1177-889X,",2.0
PMC9444898,"1931-3128,1934-6069,",18.7
PMC9839298,"0025-7974,1536-5964,",1.4
PMC9198042,"2041-1723,",15.7
PMC10326306,"2211-3835,2211-3843,",14.6
PMC9516284,"2574-3805,",9.7
PMC9972898,"1941-5923,",0.7
PMC9013794,"2044-6055,",2.3
PMC10748872,"2044-6055,",2.3
PMC10289752,"0025-7974,1536-5964,",1.4
PMC9237115,"2041-1723,",15.7
PMC9466305,"2041-1723,",15.7
PMC8783428,"1752-1947,",0.8
PMC9206929,"2049-0801,",1.6
PMC9621500,"2572-9241,",14.6
PMC9117143,"1078-8956,1546-170X,",50.0
PMC10084920,"2095-5138,2053-714X,",17.1
PMC9706413,"2452-199X,",20.3
PMC9794202,"0025-7974,1536-5964,",1.4
PMC10502445,"0007-1420,1471-8391,",5.4
PMC9514111,"2053-8855,",0.4
PMC10500017,"2041-1723,",15.7
PMC10608527,"1010-660X,1648-9144,",2.4
PMC9289017,"2044-6055,",2.3
PMC9821109,"2077-0383,",2.9
PMC10182559,"2041-1723,",15.7
PMC9739309,"2077-0383,",2.9
PMC10404895,"2391-5463,",1.6
PMC9586874,"1465-7392,1476-4679,",19.5
PMC10428927,"2572-9241,",14.6
PMC10364186,"2044-6055,",2.3
PMC10106223,"0366-6999,2542-5641,",7.3
PMC10335927,"1061-4036,1546-1718,",29.0
PMC9063586,"1941-5923,",0.7
PMC9524981,"0025-7974,1536-5964,",1.4
PMC10646372,"2008-6164,2008-6172,",1.0
PMC10243606,"1178-7074,",2.0
PMC10510869,"2044-6055,",2.3
PMC10767463,"2198-3844,",14.1
PMC9205050,"2050-7771,",11.5
PMC10003138,"2077-0383,",2.9
PMC9571837,"2077-0383,",2.9
PMC9457267,"2077-0383,",2.9
PMC10501056,"2324-7096,",0.8
PMC9757045,"0305-1048,1362-4962,",13.1
PMC9267807,"2077-0383,",2.9
PMC10962691,"1354-1013,1365-2486,",12.1
PMC9539510,"0014-2972,1365-2362,",3.6
PMC9313483,"2198-3844,",14.1
PMC10278909,"0971-5916,0975-9174,",2.5
PMC10334887,"2155-5435,",13.1
PMC10060305,"0043-5341,1563-258X,",1.5
PMC9392679,"2311-6706,2150-5551,",36.3
PMC10331595,"2213-2317,",11.9
PMC9917638,"2077-0383,",2.9
PMC9304341,"2041-1723,",15.7
PMC9430751,"2572-9241,",14.6
PMC10394085,"2056-5968,",12.5
PMC10129172,"2049-0801,",1.6
PMC9204773,"0002-7863,1520-5126,",15.7
PMC10304513,"1010-660X,1648-9144,",2.4
PMC9975663,"2159-8274,2159-8290,",33.3
PMC10342770,"2077-0383,",2.9
PMC10795752,"2075-4418,",3.3
PMC10289492,"2049-0801,",1.6
PMC9694526,"2077-0383,",2.9
PMC10767964,"0305-1048,1362-4962,",13.1
PMC9189669,"2198-3844,",14.1
PMC10572807,"2075-4418,",3.3
PMC10130085,"2041-1723,",15.7
PMC10179180,"2077-0383,",2.9
PMC9492537,"0028-0836,1476-4687,",48.5
PMC10219535,"2077-0383,",2.9
PMC10464878,"0026-4075,1930-613X,",1.1
PMC9792892,"2213-2317,",11.9
PMC10314026,"0003-4967,1468-2060,",20.6
PMC9526810,"2041-1723,",15.7
PMC10499793,"2041-1723,",15.7
PMC10640624,"2041-1723,",15.7
PMC10428840,"2572-9241,",14.6
PMC10572464,"2075-4418,",3.3
PMC9528956,"2398-8835,",2.1
PMC10673437,"1010-660X,1648-9144,",2.4
PMC9284559,"0002-7863,1520-5126,",15.7
PMC9772970,"2050-313X,",0.6
PMC9853252,"2044-6055,",2.3
PMC9887028,"2296-858X,",3.0
PMC10650729,"2075-4418,",3.3
PMC8783268,"2574-3805,",9.7
PMC9282066,"0025-7974,1536-5964,",1.4
PMC9797852,"2296-858X,",3.0
PMC10553178,"2049-0801,",1.6
PMC8735744,"0025-7974,1536-5964,",1.4
PMC10104721,"0974-2727,0974-7826,",1.0
PMC9658686,"2077-0383,",2.9
PMC10151601,"2050-0904,",0.6
PMC9276297,"0025-7974,1536-5964,",1.4
PMC10647836,"2077-0383,",2.9
PMC9652640,"1680-6905,1729-0503,",0.9
PMC8818532,"2049-0801,",1.6
PMC9088199,"2666-7762,",13.0
PMC10416225,"0009-2665,1520-6890,",55.8
PMC10517947,"2041-1723,",15.7
PMC9126893,"0253-0716,1735-3688,",1.5
PMC8974057,"1752-1947,",0.8
PMC9252909,"0887-6924,1476-5551,",13.4
PMC9575736,"2572-9241,",14.6
PMC10264920,"2050-0904,",0.6
PMC8860268,"2095-9907,2059-3635,",52.7
PMC9863213,"2049-2618,",12.7
PMC9430169,"2572-9241,",14.6
PMC10181940,"1061-4036,1546-1718,",29.0
PMC10654578,"2666-6758,",25.7
PMC9160033,"2041-1723,",15.7
PMC10151868,"2044-6055,",2.3
PMC9262625,"0305-1048,1362-4962,",13.1
PMC9786719,"1010-660X,1648-9144,",2.4
PMC8971710,"2296-858X,",3.0
PMC10058810,"2077-0383,",2.9
PMC9362783,"2044-6055,",2.3
PMC10320875,"1741-7015,",8.3
PMC9304130,"0198-6325,1098-1128,",11.6
PMC10329738,"2398-8835,",2.1
PMC8689443,"2168-6149,2168-6157,",21.4
PMC9104797,"2077-0383,",2.9
PMC10333282,"2041-1723,",15.7
PMC10558681,"2198-3844,",14.1
PMC10482932,"2041-1723,",15.7
PMC8893332,"0149-2195,1545-861X,",17.3
PMC9701142,"2662-1347,",28.5
PMC8921220,"2041-1723,",15.7
PMC9515688,"1449-1907,",3.2
PMC9914203,"2075-4418,",3.3
PMC9024068,"2044-5385,",11.6
PMC9995092,"2399-3529,",11.1
PMC9018544,"0008-5472,1538-7445,",16.6
PMC9512133,"2360-6975,",0.6
PMC9931588,"0028-0836,1476-4687,",48.5
PMC9532563,"2211-3835,2211-3843,",14.6
PMC9361808,"2050-0904,",0.6
PMC9123198,"1807-5932,1980-5322,",2.4
PMC10293583,"2050-0904,",0.6
PMC9592430,"0025-7974,1536-5964,",1.4
PMC9328034,"2450-131X,2224-4018,",7.4
PMC10419835,"2077-0383,",2.9
PMC10022300,"1741-7015,",8.3
PMC9577071,"2050-313X,",0.6
PMC9550636,"1011-8934,1598-6357,",2.3
PMC9261193,"0013-936X,1520-5851,",11.3
PMC9431266,"2572-9241,",14.6
PMC9689344,"2075-4418,",3.3
PMC9730369,"2044-6055,",2.3
PMC9682653,"1741-7015,",8.3
PMC10706235,"2075-4418,",3.3
PMC9976888,"0305-1048,1362-4962,",13.1
PMC10087412,"0105-4538,1398-9995,",12.0
PMC9556326,"1078-8956,1546-170X,",50.0
PMC9894574,"2643-3230,2643-3249,",11.5
PMC9196958,"1524-5012,1524-5012,",1.2
PMC9709337,"2296-858X,",3.0
PMC9300826,"2296-858X,",3.0
PMC9534192,"1923-4155,1923-4163,",0.9
PMC10341107,"2075-4418,",3.3
PMC10496717,"2044-6055,",2.3
PMC9014023,"2044-6055,",2.3
PMC10410118,"2050-0904,",0.6
PMC9707360,"0149-2195,1545-861X,",17.3
PMC8811133,"2296-858X,",3.0
PMC9308779,"2041-1723,",15.7
PMC9730842,"0013-936X,1520-5851,",11.3
PMC9669597,"2296-858X,",3.0
PMC8984773,"2574-3805,",9.7
PMC10697032,"2050-313X,",0.6
PMC9355964,"2041-1723,",15.7
PMC10264934,"2050-0904,",0.6
PMC10227490,"2398-8835,",2.1
PMC10802838,"2075-4418,",3.3
PMC10104659,"2198-3844,",14.1
PMC10152766,"1477-3155,",12.6
PMC8947052,"2075-4418,",3.3
PMC9103516,"2077-0383,",2.9
PMC9701833,"2050-0904,",0.6
PMC9279632,"2211-3835,2211-3843,",14.6
PMC10441828,"0149-2195,1545-861X,",17.3
PMC10660242,"2360-6975,",0.6
PMC10429814,"2572-9241,",14.6
PMC9812604,"1368-5031,1742-1241,",2.4
PMC10743704,"2077-0383,",2.9
PMC9982479,"2078-6190,2078-6204,",1.4
PMC10217342,"2075-4418,",3.3
PMC10837385,"2198-3844,",14.1
PMC9410880,"0305-1048,1362-4962,",13.1
PMC9669415,"2296-858X,",3.0
PMC8789853,"2041-1723,",15.7
PMC10743437,"2077-0383,",2.9
PMC9331088,"2574-3805,",9.7
PMC9199010,"2380-8195,",18.9
PMC9027844,"2077-0383,",2.9
PMC9577636,"2049-0801,",1.6
PMC9196963,"1524-5012,1524-5012,",1.2
PMC10085998,"2041-1723,",15.7
PMC8956739,"2041-1723,",15.7
PMC10434298,"2095-5138,2053-714X,",17.1
PMC9684313,"2296-858X,",3.0
PMC9736029,"2077-0383,",2.9
PMC9152860,"0918-2918,1349-7235,",1.1
PMC9628541,"2044-6055,",2.3
PMC9675756,"2041-1723,",15.7
PMC9029454,"1010-660X,1648-9144,",2.4
PMC10238784,"2398-8835,",2.1
PMC9206927,"2049-0801,",1.6
PMC8999563,"2077-0383,",2.9
PMC10352859,"2574-3805,",9.7
PMC9960473,"1741-7015,",8.3
PMC9774490,"2296-858X,",3.0
PMC10386426,"1010-660X,1648-9144,",2.4
PMC9234502,"1178-7074,",2.0
PMC10344581,"0366-6999,2542-5641,",7.3
PMC9525902,"2666-6758,",25.7
PMC10066299,"1001-0602,1748-7838,",25.9
PMC10150127,"2211-3835,2211-3843,",14.6
PMC8921923,"2044-6055,",2.3
PMC9575778,"0025-7974,1536-5964,",1.4
PMC10530130,"2075-4418,",3.3
PMC10751512,"1735-1995,1735-7136,",1.5
PMC9140093,"2075-4418,",3.3
PMC9240232,"2296-858X,",3.0
PMC9296639,"2398-6352,",15.1
PMC8981327,"2044-6055,",2.3
PMC9287162,"1087-0156,1546-1696,",41.7
PMC9781590,"1010-660X,1648-9144,",2.4
PMC9695517,"2077-0383,",2.9
PMC9784727,"2077-0383,",2.9
PMC10079962,"2095-5545,2047-7538,",23.4
PMC10853716,"2198-3844,",14.1
PMC10624828,"2041-1723,",15.7
PMC10014619,"2296-858X,",3.0
PMC9065008,"2041-1723,",15.7
PMC10628149,"2041-1723,",15.7
PMC10070632,"2041-1723,",15.7
PMC9827250,"2044-6055,",2.3
PMC10743919,"2077-0383,",2.9
PMC10864940,"1029-2977,1735-3947,1029-2977,",1.0
PMC10686003,"2053-8855,",0.4
PMC9224769,"2077-0383,",2.9
PMC9295091,"2095-9907,2059-3635,",52.7
PMC9494581,"2399-6641,",1.6
PMC10221364,"1010-660X,1648-9144,",2.4
PMC10731120,"2398-8835,",2.1
PMC10492030,"1525-0016,1525-0024,",12.0
PMC9046422,"2041-1723,",15.7
PMC10422895,"2324-7096,",0.8
PMC10564787,"2041-1723,",15.7
PMC10381668,"2077-0383,",2.9
PMC9228508,"1010-660X,1648-9144,",2.4
PMC9429745,"2572-9241,",14.6
PMC8948610,"2198-3844,",14.1
PMC9386139,"2296-858X,",3.0
PMC9221910,"2075-4418,",3.3
PMC10507101,"2041-1723,",15.7
PMC10219031,"2077-0383,",2.9
PMC10314457,"1757-790X,",0.5
PMC8789854,"2041-1723,",15.7
PMC10177961,"0002-7863,1520-5126,",15.7
PMC10322907,"2041-1723,",15.7
PMC10278692,"0366-6999,2542-5641,",7.3
PMC9002349,"2296-858X,",3.0
PMC10573369,"2077-0383,",2.9
PMC9429205,"2572-9241,",14.6
PMC9845846,"2010-1058,2059-2329,",0.5
PMC9329442,"1177-889X,",2.0
PMC9267588,"2077-0383,",2.9
PMC9887009,"2041-1723,",15.7
PMC8899476,"1081-5589,1708-8267,",2.0
PMC9588780,"2041-1723,",15.7
PMC9071352,"0016-2590,2185-4610,",0.9
PMC9794301,"0025-7974,1536-5964,",1.4
PMC10294363,"1741-7015,",8.3
PMC9422279,"2049-0801,",1.6
PMC10378260,"2075-4418,",3.3
PMC9828217,"1444-0903,1445-5994,",1.5
PMC10645602,"2662-8465,",19.5
PMC10341244,"2075-4418,",3.3
PMC10972704,"1460-2725,1460-2393,",6.5
PMC10531737,"2077-0383,",2.9
PMC10017253,"0918-2918,1349-7235,",1.1
PMC9605452,"2077-0383,",2.9
PMC10693601,"2041-1723,",15.7
PMC9570851,"2077-0383,",2.9
PMC10238374,"2041-1723,",15.7
PMC9729258,"2296-858X,",3.0
PMC10382498,"2056-5968,",12.5
PMC9777225,"2075-4418,",3.3
PMC9610256,"1516-3180,1806-9460,",1.6
PMC10253283,"2077-0383,",2.9
PMC10161047,"2198-3844,",14.1
PMC9482185,"2731-4553,",2.6
PMC10430927,"2572-9241,",14.6
PMC9862383,"2077-0383,",2.9
PMC10510715,"1936-0851,1936-086X,",16.1
PMC9475043,"2041-1723,",15.7
PMC9431095,"2572-9241,",14.6
PMC9424078,"0918-2918,1349-7235,",1.1
PMC10098215,"2296-858X,",3.0
PMC10495683,"2296-858X,",3.0
PMC9701739,"2296-858X,",3.0
PMC9575812,"0025-7974,1536-5964,",1.4
PMC9667988,"2044-6055,",2.3
PMC9776589,"1936-0851,1936-086X,",16.1
PMC10681763,"1923-4155,1923-4163,",0.9
PMC9127175,"2049-0801,",1.6
PMC9498946,"1549-1277,1549-1676,",9.9
PMC8735712,"0025-7974,1536-5964,",1.4
PMC10706067,"2075-4418,",3.3
PMC10320164,"0305-1048,1362-4962,",13.1
PMC8980039,"1226-3613,2092-6413,",12.9
PMC9951252,"0002-7863,1520-5126,",15.7
PMC9225521,"2077-0383,",2.9
PMC9027519,"2075-4418,",3.3
PMC9716411,"2044-6055,",2.3
PMC9821417,"2077-0383,",2.9
PMC10185694,"2041-1723,",15.7
PMC9966199,"2077-0383,",2.9
PMC10037838,"1477-3155,",12.6
PMC10310898,"2050-0904,",0.6
PMC9729984,"2050-3121,",2.1
PMC9542978,"0025-7974,1536-5964,",1.4
PMC9891920,"2190-5991,2190-6009,",9.1
PMC8921577,"0017-5749,1468-3288,",26.2
PMC8983708,"2041-1723,",15.7
PMC9807198,"0971-5916,0975-9174,",2.5
PMC10488537,"2077-0383,",2.9
PMC9478319,"0025-7974,1536-5964,",1.4
PMC10335484,"2044-6055,",2.3
PMC10722136,"0008-5472,1538-7445,",16.6
PMC10564731,"2041-1723,",15.7
PMC10203137,"2041-1723,",15.7
PMC10199379,"1735-1995,1735-7136,",1.5
PMC9869731,"0149-2195,1545-861X,",17.3
PMC10430689,"2572-9241,",14.6
PMC10134166,"2050-313X,",0.6
PMC10307778,"2095-5545,2047-7538,",23.4
PMC9529573,"0820-3946,1488-2329,",12.2
PMC9251802,"1941-5923,",0.7
PMC9685463,"2198-3844,",14.1
PMC10137137,"2075-4418,",3.3
PMC10171744,"2572-9241,",14.6
PMC10321318,"0092-8674,1097-4172,",42.5
PMC9900456,"2452-199X,",20.3
PMC10473559,"0006-8950,1460-2156,",11.7
PMC10001108,"2075-4418,",3.3
PMC8850686,"0903-1936,1399-3003,",21.2
PMC10360056,"0002-7863,1520-5126,",15.7
PMC10198464,"2296-858X,",3.0
PMC8778190,"2077-0383,",2.9
PMC10219332,"2077-0383,",2.9
PMC10124256,"2044-6055,",2.3
PMC10753742,"2044-6055,",2.3
PMC9508103,"2041-1723,",15.7
PMC10332052,"1741-7015,",8.3
PMC8789698,"0021-1265,1863-4362,",1.6
PMC8852234,"2044-6055,",2.3
PMC10111180,"2574-3805,",9.7
PMC10455791,"2077-0383,",2.9
PMC10243994,"0168-6445,1574-6976,",12.3
PMC10729261,"2044-6055,",2.3
PMC10718380,"2049-0801,",1.6
PMC9922344,"2311-6706,2150-5551,",36.3
PMC9316837,"2075-4418,",3.3
PMC10641727,"2296-858X,",3.0
PMC9698365,"1178-7074,",2.0
PMC10496675,"2044-6055,",2.3
PMC10266482,"1179-142X,",0.6
PMC9602202,"0300-9734,2000-1967,",1.6
PMC9010325,"2772-9850,",17.6
PMC9224833,"2077-0383,",2.9
PMC9640473,"1818-0876,2221-285X,",11.9
PMC9810530,"1529-2908,1529-2916,",27.6
PMC8922124,"2198-3844,",14.1
PMC10492209,"1658-3612,",1.9
PMC8752372,"2050-0904,",0.6
PMC8836789,"2077-0383,",2.9
PMC10188487,"2041-1723,",15.7
PMC10328585,"2049-0801,",1.6
PMC9403130,"2044-6055,",2.3
PMC9026964,"2075-4418,",3.3
PMC9776459,"2075-4418,",3.3
PMC10699550,"0168-3659,1873-4995,",11.5
PMC9000103,"2077-0383,",2.9
PMC10416996,"2075-4418,",3.3
PMC10406021,"0366-6999,2542-5641,",7.3
PMC9793151,"2049-0801,",1.6
PMC9748384,"2731-4553,",2.6
PMC9868886,"1807-5932,1980-5322,",2.4
PMC9741615,"2041-1723,",15.7
PMC10465955,"2211-3835,2211-3843,",14.6
PMC9118780,"2046-4053,",3.9
PMC10235872,"2190-5991,2190-6009,",9.1
PMC9096672,"2589-5370,",10.0
PMC10129214,"2049-0801,",1.6
PMC10316122,"2398-8835,",2.1
PMC10567686,"2044-5385,",11.6
PMC9950473,"2041-1723,",15.7
PMC9228623,"1010-660X,1648-9144,",2.4
PMC10610950,"0820-3946,1488-2329,",12.2
PMC9833938,"0013-726X,1438-8812,",12.8
PMC10488544,"2077-0383,",2.9
PMC10124197,"2044-6055,",2.3
PMC10654462,"2050-0904,",0.6
PMC9370242,"0025-7974,1536-5964,",1.4
PMC9486654,"2049-0801,",1.6
PMC9140882,"2075-4418,",3.3
PMC9096531,"2044-6055,",2.3
PMC10429539,"2572-9241,",14.6
PMC10089576,"2095-5138,2053-714X,",17.1
PMC10031395,"2574-3805,",9.7
PMC10447424,"2041-1723,",15.7
PMC8685659,"0306-3674,1473-0480,",16.3
PMC10035987,"0025-7974,1536-5964,",1.4
PMC8746270,"2077-0383,",2.9
PMC10504158,"1828-0447,1970-9366,",3.8
PMC9700716,"2041-1723,",15.7
PMC10632149,"0028-0836,1476-4687,",48.5
PMC10704603,"0002-7863,1520-5126,",15.7
PMC9419990,"1178-7074,",2.0
PMC8878613,"0025-7974,1536-5964,",1.4
PMC9976469,"1741-7015,",8.3
PMC10797420,"2198-3844,",14.1
PMC10713177,"0025-7974,1536-5964,",1.4
PMC9529007,"1177-889X,",2.0
PMC10632829,"2044-6055,",2.3
PMC9648388,"2523-3548,",24.9
PMC9762408,"1177-889X,",2.0
PMC10219689,"0025-7974,1536-5964,",1.4
PMC10390276,"2799-8010,",1.4
PMC9226864,"2044-6055,",2.3
PMC10282116,"2050-0904,",0.6
PMC10462945,"2044-6055,",2.3
PMC8924250,"2044-5385,",11.6
PMC10196425,"2050-0904,",0.6
PMC9369630,"2077-0383,",2.9
PMC9000024,"2077-0383,",2.9
PMC10400590,"2041-1723,",15.7
PMC9820940,"2077-0383,",2.9
PMC10039029,"2041-1723,",15.7
PMC9284153,"2198-3844,",14.1
PMC9457514,"2077-0383,",2.9
PMC10014963,"2041-1723,",15.7
PMC9289319,"2049-0801,",1.6
PMC9420433,"2452-199X,",20.3
PMC8801383,"2213-2317,",11.9
PMC9845298,"2041-1723,",15.7
PMC10183186,"1178-7074,",2.0
PMC10001408,"2075-4418,",3.3
PMC10359611,"0305-1048,1362-4962,",13.1
PMC10613639,"2296-858X,",3.0
PMC10429749,"2572-9241,",14.6
PMC10202901,"2213-2317,",11.9
PMC9953041,"2572-9241,",14.6
PMC10317982,"2041-1723,",15.7
PMC9293711,"2211-3835,2211-3843,",14.6
PMC10476756,"0025-7974,1536-5964,",1.4
PMC9402438,"0028-0836,1476-4687,",48.5
PMC10695595,"0025-7974,1536-5964,",1.4
PMC9694199,"1010-660X,1648-9144,",2.4
PMC10074139,"2198-3844,",14.1
PMC9798889,"2095-5138,2053-714X,",17.1
PMC10253984,"2077-0383,",2.9
PMC9944235,"0141-0768,1758-1095,",10.3
PMC10204443,"2076-3271,",4.4
PMC9505999,"2077-0383,",2.9
PMC10018341,"0305-1048,1362-4962,",13.1
PMC9635128,"2731-4553,",2.6
PMC8870865,"2075-4418,",3.3
PMC9726302,"0025-7974,1536-5964,",1.4
PMC10311488,"2296-858X,",3.0
PMC9649012,"2041-1723,",15.7
PMC9642054,"2572-9241,",14.6
PMC9689259,"2075-4418,",3.3
PMC9429916,"2572-9241,",14.6
PMC10700679,"2198-3844,",14.1
PMC9741584,"2041-1723,",15.7
PMC8959810,"2296-858X,",3.0
PMC9751155,"2050-313X,",0.6
PMC9739288,"2077-0383,",2.9
PMC9685468,"2198-3844,",14.1
PMC9108459,"0212-6567,1578-1275,",1.6
PMC10322705,"0028-0836,1476-4687,",48.5
PMC8857285,"0017-5749,1468-3288,",26.2
PMC10649766,"2075-4418,",3.3
PMC8862518,"1741-7015,",8.3
PMC9789964,"2041-1723,",15.7
PMC10171581,"2572-9241,",14.6
PMC10179343,"2077-0383,",2.9
PMC10600612,"1302-7123,1308-5123,",0.9
PMC8935180,"2044-6055,",2.3
PMC9684209,"2296-858X,",3.0
PMC10541539,"0253-0716,1735-3688,",1.5
PMC9750538,"0025-7974,1536-5964,",1.4
PMC9352310,"0013-936X,1520-5851,",11.3
PMC10577160,"2050-0904,",0.6
PMC10673972,"1674-2818,2049-3169,",12.2
PMC10509256,"2041-1723,",15.7
PMC9810712,"2095-9907,2059-3635,",52.7
PMC9963572,"1010-660X,1648-9144,",2.4
PMC9731360,"2398-8835,",2.1
PMC10154424,"1361-8415,1361-8423,",11.8
PMC8836984,"2077-0383,",2.9
PMC9837842,"0002-7863,1520-5126,",15.7
PMC8800869,"1177-889X,",2.0
PMC9511581,"2044-6055,",2.3
PMC9825523,"0305-1048,1362-4962,",13.1
PMC8956973,"2574-3805,",9.7
